Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2021,2001,2961.633355615918,88.52621760556718,2784.5809204047837,3138.685790827052
2021,2002,2755.028917985099,82.40257935374102,2590.223759277617,2919.8340766925808
2021,2003,2780.733438568522,78.3273663492212,2624.07870587008,2937.3881712669645
2021,2004,3074.569918985957,82.23828422879681,2910.0933505283633,3239.0464874435506
2021,2005,2709.04774956616,74.18718998363084,2560.6733695988983,2857.4221295334214
2021,2006,2484.0159946518565,72.2785235460089,2339.4589475598386,2628.5730417438745
2021,2007,2050.2021284261778,67.10489853154915,1915.9923313630795,2184.411925489276
2021,2008,1582.0840335618964,58.82232175578255,1464.4393900503312,1699.7286770734615
2021,2009,1675.841296541743,61.63371625565183,1552.5738640304394,1799.1087290530468
2021,2010,1712.5668328295606,62.18503880770853,1588.1967552141434,1836.9369104449777
2021,2011,2106.2717001751857,73.16091869036896,1959.9498627944479,2252.593537555924
2021,2012,2584.472638477259,89.60376971921949,2405.26509903882,2763.6801779156976
2021,2013,2964.7999217753427,107.78374290377992,2749.2324359677827,3180.3674075829026
2021,2014,2936.8385244411097,115.80858675675768,2705.2213509275944,3168.455697954625
2021,2015,2760.0980772325593,111.64898173379717,2536.800113764965,2983.3960407001537
2021,2016,3024.862509817683,124.01246844437247,2776.8375729289382,3272.887446706428
2021,2017,3420.4200221736396,153.3127954656235,3113.7944312423924,3727.045613104887
2021,2018,3168.588402715218,165.43975246360793,2837.708897788002,3499.4679076424336
2021,2019,3002.640033177987,193.98770559722115,2614.6646219835447,3390.615444372429
2021,2020,2265.699909534659,189.9051093466327,1885.8896908413938,2645.5101282279247
2021,2021,2152.7110757751666,255.92420397153904,1640.8626678320884,2664.559483718245
2022,1964,1313.0824490975324,271.7762651280818,769.5299188413688,1856.634979353696
2022,1965,1343.1696481302297,271.0662061777621,801.0372357747054,1885.3020604857538
2022,1966,1367.5340833323557,282.1621006261058,803.2098820801441,1931.8582845845674
2022,1967,1479.1681870912712,298.6780969818484,881.8119931275744,2076.524381054968
2022,1968,1645.7561323746386,336.25318131481566,973.2497697450073,2318.26249500427
2022,1969,1868.1835598454231,371.1745796894472,1125.8344004665287,2610.5327192243176
2022,1970,1980.6431383930162,376.08817794854156,1228.466782495933,2732.819494290099
2022,1971,2093.0004763582447,387.81152280916245,1317.3774307399199,2868.6235219765695
2022,1972,1956.4841922216146,357.4124023042431,1241.6593876131285,2671.308996830101
2022,1973,1677.447557150921,327.3948631129241,1022.6578309250729,2332.2372833767695
2022,1974,1275.795908712454,287.2923182506798,701.2112722110945,1850.3805452138135
2022,1975,1181.778965827083,257.06957886624247,667.6398080945982,1695.918123559568
2022,1976,1102.845368311003,193.21244514840077,716.4204780142015,1489.2702586078046
2022,1977,1281.3721372434356,183.40670483132396,914.5587275807877,1648.1855469060836
2022,1978,1131.391913106083,148.86062180148215,833.6706695031187,1429.1131567090472
2022,1979,1035.8375931250748,125.22617117857769,785.3852507679194,1286.2899354822302
2022,1980,1225.4354864748175,119.1213613399397,987.1927637949381,1463.6782091546968
2022,1981,1883.6159787691288,125.3029853448649,1633.010008079399,2134.2219494588585
2022,1982,2632.6361797930467,153.22027106008116,2326.1956376728845,2939.076721913209
2022,1983,3557.5969444849625,198.5574493505816,3160.482045783799,3954.711843186126
2022,1984,3707.897051717759,204.00836451973234,3299.8803226782943,4115.913780757223
2022,1985,4243.3044311639605,206.42215648120393,3830.4601182015526,4656.148744126368
2022,1986,4130.742316539496,182.64844376291387,3765.445429013668,4496.039204065323
