spp_file,Alt,Year,variable,value
EBS_Pollock_2024,3,2032,SSB_mean,2660.9
EBS_Pollock_2024,3,2033,SSB_lb,1707.81
EBS_Pollock_2024,3,2033,SSB_ub,4033.7
EBS_Pollock_2024,3,2033,SSB_median,2568.47
EBS_Pollock_2024,3,2033,SSB_mean,2690.38
EBS_Pollock_2024,3,2034,SSB_lb,1715.3
EBS_Pollock_2024,3,2034,SSB_ub,4040.42
EBS_Pollock_2024,3,2034,SSB_median,2568.46
EBS_Pollock_2024,3,2034,SSB_mean,2687.88
EBS_Pollock_2024,3,2035,SSB_lb,1703.98
EBS_Pollock_2024,3,2035,SSB_ub,4065.82
EBS_Pollock_2024,3,2035,SSB_median,2570.7
EBS_Pollock_2024,3,2035,SSB_mean,2686.51
EBS_Pollock_2024,3,2036,SSB_lb,1705.39
EBS_Pollock_2024,3,2036,SSB_ub,4037.77
EBS_Pollock_2024,3,2036,SSB_median,2551.87
EBS_Pollock_2024,3,2036,SSB_mean,2679.96
EBS_Pollock_2024,3,2037,SSB_lb,1709.21
EBS_Pollock_2024,3,2037,SSB_ub,3962.22
EBS_Pollock_2024,3,2037,SSB_median,2542.9
EBS_Pollock_2024,3,2037,SSB_mean,2676.24
EBS_Pollock_2024,3,2038,SSB_lb,1740.24
EBS_Pollock_2024,3,2038,SSB_ub,4015.28
EBS_Pollock_2024,3,2038,SSB_median,2552.63
EBS_Pollock_2024,3,2038,SSB_mean,2687.73
EBS_Pollock_2024,3,2025,F_lb,0.169584
EBS_Pollock_2024,3,2025,F_ub,0.169584
EBS_Pollock_2024,3,2025,F_median,0.169584
EBS_Pollock_2024,3,2025,F_mean,0.169584
EBS_Pollock_2024,3,2026,F_lb,0.204459
EBS_Pollock_2024,3,2026,F_ub,0.204465
EBS_Pollock_2024,3,2026,F_median,0.204463
EBS_Pollock_2024,3,2026,F_mean,0.204463
EBS_Pollock_2024,3,2027,F_lb,0.218562
